# Nmap 7.70 scan initiated Fri Aug 16 16:41:42 2019 as: nmap -sP -vv -o seg.log 4.4.*.100-101
Nmap scan report for 4.4.227.101 [host down, received no-response]
Nmap scan report for 4.4.228.100 [host down, received no-response]
Nmap scan report for 4.4.228.101 [host down, received no-response]
Nmap scan report for 4.4.229.100 [host down, received no-response]
Nmap scan report for 4.4.229.101 [host down, received no-response]
Nmap scan report for 4.4.230.100 [host down, received no-response]
Nmap scan report for 4.4.230.101 [host down, received no-response]
Nmap scan report for 4.4.231.100 [host down, received no-response]
Nmap scan report for 4.4.231.101 [host down, received no-response]
Nmap scan report for 4.4.232.100 [host down, received no-response]
Nmap scan report for 4.4.232.101 [host down, received no-response]
Nmap scan report for 4.4.233.100 [host down, received no-response]
Nmap scan report for 4.4.233.101 [host down, received no-response]
Nmap scan report for 4.4.234.100 [host down, received no-response]
Nmap scan report for 4.4.234.101 [host down, received no-response]
Nmap scan report for 4.4.235.100 [host down, received no-response]
Nmap scan report for 4.4.235.101 [host down, received no-response]
Nmap scan report for 4.4.236.100 [host down, received no-response]
Nmap scan report for 4.4.236.101 [host down, received no-response]
Nmap scan report for 4.4.237.100 [host down, received no-response]
Nmap scan report for 4.4.237.101 [host down, received no-response]
Nmap scan report for 4.4.238.100 [host down, received no-response]
Nmap scan report for 4.4.238.101 [host down, received no-response]
Nmap scan report for 4.4.239.100 [host down, received no-response]
Nmap scan report for 4.4.239.101 [host down, received no-response]
Nmap scan report for 4.4.240.100 [host down, received no-response]
Nmap scan report for 4.4.240.101 [host down, received no-response]
Nmap scan report for 4.4.241.100 [host down, received no-response]
Nmap scan report for 4.4.241.101 [host down, received no-response]
Nmap scan report for 4.4.242.100 [host down, received no-response]
Nmap scan report for 4.4.242.101 [host down, received no-response]
Nmap scan report for 4.4.243.100 [host down, received no-response]
Nmap scan report for 4.4.243.101 [host down, received no-response]
Nmap scan report for 4.4.244.100 [host down, received no-response]
Nmap scan report for 4.4.244.101 [host down, received no-response]
Nmap scan report for 4.4.245.100 [host down, received no-response]
Nmap scan report for 4.4.245.101 [host down, received no-response]
Nmap scan report for 4.4.246.100 [host down, received no-response]
Nmap scan report for 4.4.246.101 [host down, received no-response]
Nmap scan report for 4.4.247.100 [host down, received no-response]
Nmap scan report for 4.4.247.101 [host down, received no-response]
Nmap scan report for 4.4.248.100 [host down, received no-response]
Nmap scan report for 4.4.248.101 [host down, received no-response]
Nmap scan report for 4.4.249.100 [host down, received no-response]
